'2019-12-16 14:12:18,632-INFO-14124-build_bid-19-session级别前置build_bid开始...'
'2019-12-16 14:12:23,097-INFO-14124-input_text-73-后台输入用户名输入文字lemon7开始...'
'2019-12-16 14:12:23,182-INFO-14124-wait_until_visible-38-等待后台输入用户名元素可见，耗时0.0...'
'2019-12-16 14:12:23,183-INFO-14124-get_ele-56-获取元素后台输入用户名开始...'
'2019-12-16 14:12:23,202-INFO-14124-get_ele-69-获取后台输入用户名元素，耗时0.019001007080078125...'
'2019-12-16 14:12:23,336-INFO-14124-input_text-88-获取后台输入用户名元素，耗时0.2390134334564209...'
'2019-12-16 14:12:23,336-INFO-14124-input_text-73-后台输入密码输入文字lemonbest开始...'
'2019-12-16 14:12:23,341-INFO-14124-wait_until_visible-38-等待后台输入密码元素可见，耗时0.0010001659393310547...'
'2019-12-16 14:12:23,341-INFO-14124-get_ele-56-获取元素后台输入密码开始...'
'2019-12-16 14:12:23,360-INFO-14124-get_ele-69-获取后台输入密码元素，耗时0.019000768661499023...'
'2019-12-16 14:12:23,447-INFO-14124-input_text-88-获取后台输入密码元素，耗时0.11100649833679199...'
'2019-12-16 14:12:23,448-INFO-14124-input_text-73-后台输入万能验证码输入文字hapi开始...'
'2019-12-16 14:12:23,463-INFO-14124-wait_until_visible-38-等待后台输入万能验证码元素可见，耗时0.0...'
'2019-12-16 14:12:23,463-INFO-14124-get_ele-56-获取元素后台输入万能验证码开始...'
'2019-12-16 14:12:23,480-INFO-14124-get_ele-69-获取后台输入万能验证码元素，耗时0.017000913619995117...'
'2019-12-16 14:12:23,546-INFO-14124-input_text-88-获取后台输入万能验证码元素，耗时0.09800577163696289...'
'2019-12-16 14:12:23,546-INFO-14124-ele_click-91-点击元素点击后台登录按钮开始...'
'2019-12-16 14:12:23,550-INFO-14124-wait_until_visible-38-等待点击后台登录按钮元素可见，耗时0.0...'
'2019-12-16 14:12:23,550-INFO-14124-get_ele-56-获取元素点击后台登录按钮开始...'
