'2019-12-18 14:37:26,976-INFO-3148-build_bid-19-session级别前置build_bid开始...'
'2019-12-18 14:37:32,311-INFO-3148-input_text-73-后台输入用户名输入文字lemon7开始...'
'2019-12-18 14:37:32,517-INFO-3148-wait_until_visible-38-等待后台输入用户名元素可见，耗时0.0...'
'2019-12-18 14:37:32,517-INFO-3148-get_ele-56-获取元素后台输入用户名开始...'
'2019-12-18 14:37:32,614-INFO-3148-get_ele-69-获取后台输入用户名元素，耗时0.08500504493713379...'
'2019-12-18 14:37:32,751-INFO-3148-input_text-88-获取后台输入用户名元素，耗时0.44002509117126465...'
'2019-12-18 14:37:32,751-INFO-3148-input_text-73-后台输入密码输入文字lemonbest开始...'
'2019-12-18 14:37:32,754-INFO-3148-wait_until_visible-38-等待后台输入密码元素可见，耗时0.0...'
'2019-12-18 14:37:32,754-INFO-3148-get_ele-56-获取元素后台输入密码开始...'
'2019-12-18 14:37:32,775-INFO-3148-get_ele-69-获取后台输入密码元素，耗时0.020000934600830078...'
'2019-12-18 14:37:32,857-INFO-3148-input_text-88-获取后台输入密码元素，耗时0.10600590705871582...'
'2019-12-18 14:37:32,857-INFO-3148-input_text-73-后台输入万能验证码输入文字hapi开始...'
'2019-12-18 14:37:32,860-INFO-3148-wait_until_visible-38-等待后台输入万能验证码元素可见，耗时0.0...'
'2019-12-18 14:37:32,860-INFO-3148-get_ele-56-获取元素后台输入万能验证码开始...'
'2019-12-18 14:37:32,879-INFO-3148-get_ele-69-获取后台输入万能验证码元素，耗时0.019001245498657227...'
'2019-12-18 14:37:32,955-INFO-3148-input_text-88-获取后台输入万能验证码元素，耗时0.09800577163696289...'
'2019-12-18 14:37:32,956-INFO-3148-ele_click-91-点击元素点击后台登录按钮开始...'
'2019-12-18 14:37:32,959-INFO-3148-wait_until_visible-38-等待点击后台登录按钮元素可见，耗时0.0...'
'2019-12-18 14:37:32,959-INFO-3148-get_ele-56-获取元素点击后台登录按钮开始...'
'2019-12-18 14:37:32,978-INFO-3148-get_ele-69-获取点击后台登录按钮元素，耗时0.019001245498657227...'
'2019-12-18 14:37:33,044-INFO-3148-ele_click-106-点击点击后台登录按钮元素，耗时0.08800506591796875...'
'2019-12-18 14:37:33,045-INFO-3148-ele_click-91-点击元素点击贷款管理开始...'
'2019-12-18 14:37:33,048-INFO-3148-wait_until_visible-38-等待点击贷款管理元素可见，耗时0.0...'
'2019-12-18 14:37:33,048-INFO-3148-get_ele-56-获取元素点击贷款管理开始...'
'2019-12-18 14:37:34,066-INFO-3148-get_ele-69-获取点击贷款管理元素，耗时1.0170581340789795...'
'2019-12-18 14:37:34,165-INFO-3148-ele_click-106-点击点击贷款管理元素，耗时1.1190638542175293...'
'2019-12-18 14:37:34,165-INFO-3148-switch_to_iframe-176-切换iframe切换iframe开始...'
'2019-12-18 14:37:34,169-INFO-3148-wait_until_exist-53-等待切换iframe元素存在，耗时0.0...'
'2019-12-18 14:37:34,169-INFO-3148-get_ele-56-获取元素切换iframe开始...'
'2019-12-18 14:37:34,187-INFO-3148-get_ele-69-获取切换iframe元素，耗时0.018001079559326172...'
'2019-12-18 14:37:34,229-INFO-3148-switch_to_iframe-190-切换iframe切换iframe结束，耗时0.06400370597839355...'
'2019-12-18 14:37:36,230-INFO-3148-ele_click-91-点击元素点击加标按钮开始...'
'2019-12-18 14:37:36,233-INFO-3148-wait_until_visible-38-等待点击加标按钮元素可见，耗时0.0...'
'2019-12-18 14:37:36,233-INFO-3148-get_ele-56-获取元素点击加标按钮开始...'
'2019-12-18 14:37:36,256-INFO-3148-get_ele-69-获取点击加标按钮元素，耗时0.022001266479492188...'
'2019-12-18 14:37:36,460-INFO-3148-ele_click-106-点击点击加标按钮元素，耗时0.23001313209533691...'
'2019-12-18 14:37:36,460-INFO-3148-input_text-73-输入借款人手机号输入文字13323234545开始...'
'2019-12-18 14:37:36,463-INFO-3148-wait_until_visible-38-等待输入借款人手机号元素可见，耗时0.0...'
'2019-12-18 14:37:36,463-INFO-3148-get_ele-56-获取元素输入借款人手机号开始...'
'2019-12-18 14:37:37,163-INFO-3148-get_ele-69-获取输入借款人手机号元素，耗时0.6990396976470947...'
'2019-12-18 14:37:37,338-INFO-3148-input_text-88-获取输入借款人手机号元素，耗时0.8780503273010254...'
'2019-12-18 14:37:37,838-INFO-3148-ele_click-91-点击元素选择借款人开始...'
'2019-12-18 14:37:37,841-INFO-3148-wait_until_visible-38-等待选择借款人元素可见，耗时0.0...'
'2019-12-18 14:37:37,841-INFO-3148-get_ele-56-获取元素选择借款人开始...'
'2019-12-18 14:37:37,860-INFO-3148-get_ele-69-获取选择借款人元素，耗时0.019001007080078125...'
'2019-12-18 14:37:37,985-INFO-3148-ele_click-106-点击选择借款人元素，耗时0.14700841903686523...'
'2019-12-18 14:37:37,985-INFO-3148-input_text-73-输入标的名称输入文字雕中叶61开始...'
'2019-12-18 14:37:37,988-INFO-3148-wait_until_visible-38-等待输入标的名称元素可见，耗时0.0...'
'2019-12-18 14:37:37,988-INFO-3148-get_ele-56-获取元素输入标的名称开始...'
'2019-12-18 14:37:38,008-INFO-3148-get_ele-69-获取输入标的名称元素，耗时0.02000117301940918...'
'2019-12-18 14:37:39,201-INFO-3148-input_text-88-获取输入标的名称元素，耗时1.2160694599151611...'
'2019-12-18 14:37:39,202-INFO-3148-input_text-73-输入利率/月输入文字10开始...'
'2019-12-18 14:37:39,205-INFO-3148-wait_until_visible-38-等待输入利率/月元素可见，耗时0.0...'
'2019-12-18 14:37:39,205-INFO-3148-get_ele-56-获取元素输入利率/月开始...'
'2019-12-18 14:37:39,224-INFO-3148-get_ele-69-获取输入利率/月元素，耗时0.019001245498657227...'
'2019-12-18 14:37:39,308-INFO-3148-input_text-88-获取输入利率/月元素，耗时0.10600614547729492...'
'2019-12-18 14:37:39,309-INFO-3148-input_text-73-输入期限输入文字1开始...'
'2019-12-18 14:37:39,312-INFO-3148-wait_until_visible-38-等待输入期限元素可见，耗时0.0...'
'2019-12-18 14:37:39,312-INFO-3148-get_ele-56-获取元素输入期限开始...'
'2019-12-18 14:37:39,330-INFO-3148-get_ele-69-获取输入期限元素，耗时0.01800084114074707...'
'2019-12-18 14:37:39,410-INFO-3148-input_text-88-获取输入期限元素，耗时0.10100555419921875...'
'2019-12-18 14:37:39,410-INFO-3148-input_text-73-输入贷款金额输入文字100000开始...'
'2019-12-18 14:37:39,413-INFO-3148-wait_until_visible-38-等待输入贷款金额元素可见，耗时0.0...'
'2019-12-18 14:37:39,414-INFO-3148-get_ele-56-获取元素输入贷款金额开始...'
'2019-12-18 14:37:39,434-INFO-3148-get_ele-69-获取输入贷款金额元素，耗时0.020000934600830078...'
'2019-12-18 14:37:39,546-INFO-3148-input_text-88-获取输入贷款金额元素，耗时0.13600778579711914...'
'2019-12-18 14:37:39,547-INFO-3148-input_text-73-输入竞标时长/天输入文字30开始...'
'2019-12-18 14:37:39,550-INFO-3148-wait_until_visible-38-等待输入竞标时长/天元素可见，耗时0.0...'
'2019-12-18 14:37:39,550-INFO-3148-get_ele-56-获取元素输入竞标时长/天开始...'
'2019-12-18 14:37:39,567-INFO-3148-get_ele-69-获取输入竞标时长/天元素，耗时0.017000913619995117...'
'2019-12-18 14:37:39,649-INFO-3148-input_text-88-获取输入竞标时长/天元素，耗时0.1020059585571289...'
'2019-12-18 14:37:39,649-INFO-3148-ele_click-91-点击元素点击风险测评按钮开始...'
'2019-12-18 14:37:39,652-INFO-3148-wait_until_visible-38-等待点击风险测评按钮元素可见，耗时0.0...'
'2019-12-18 14:37:39,652-INFO-3148-get_ele-56-获取元素点击风险测评按钮开始...'
'2019-12-18 14:37:39,674-INFO-3148-get_ele-69-获取点击风险测评按钮元素，耗时0.022001028060913086...'
'2019-12-18 14:37:39,797-INFO-3148-ele_click-106-点击点击风险测评按钮元素，耗时0.1480083465576172...'
'2019-12-18 14:37:39,797-INFO-3148-input_text-73-输入评估价值为1输入文字1开始...'
'2019-12-18 14:37:39,800-INFO-3148-wait_until_visible-38-等待输入评估价值为1元素可见，耗时0.0...'
'2019-12-18 14:37:39,800-INFO-3148-get_ele-56-获取元素输入评估价值为1开始...'
'2019-12-18 14:37:39,822-INFO-3148-get_ele-69-获取输入评估价值为1元素，耗时0.022001266479492188...'
'2019-12-18 14:37:39,895-INFO-3148-input_text-88-获取输入评估价值为1元素，耗时0.09800577163696289...'
'2019-12-18 14:37:39,896-INFO-3148-ele_click-91-点击元素项目录入页签点击开始...'
'2019-12-18 14:37:39,899-INFO-3148-wait_until_visible-38-等待项目录入页签点击元素可见，耗时0.0...'
'2019-12-18 14:37:39,899-INFO-3148-get_ele-56-获取元素项目录入页签点击开始...'
'2019-12-18 14:37:39,916-INFO-3148-get_ele-69-获取项目录入页签点击元素，耗时0.017000913619995117...'
'2019-12-18 14:37:40,029-INFO-3148-ele_click-106-点击项目录入页签点击元素，耗时0.13300728797912598...'
'2019-12-18 14:37:40,029-INFO-3148-input_text-73-输入籍贯输入文字中国开始...'
'2019-12-18 14:37:40,033-INFO-3148-wait_until_visible-38-等待输入籍贯元素可见，耗时0.0...'
'2019-12-18 14:37:40,033-INFO-3148-get_ele-56-获取元素输入籍贯开始...'
'2019-12-18 14:37:40,052-INFO-3148-get_ele-69-获取输入籍贯元素，耗时0.019001007080078125...'
'2019-12-18 14:37:40,135-INFO-3148-input_text-88-获取输入籍贯元素，耗时0.10500597953796387...'
'2019-12-18 14:37:40,135-INFO-3148-input_text-73-输入职业输入文字老赖开始...'
'2019-12-18 14:37:40,138-INFO-3148-wait_until_visible-38-等待输入职业元素可见，耗时0.0...'
'2019-12-18 14:37:40,139-INFO-3148-get_ele-56-获取元素输入职业开始...'
